Area Code;Area Name;Type;State;Region;Neighborhood;Coordinates;CDU 2005;SPD 2005;FDP 2005;GREEN 2005;LEFT 2005;Elect. Particptn. 2005;CDU 2009;SPD 2009;FDP 2009;GREEN 2009;LEFT 2009;Elect. Participtn. 2009;Pop. Density;Elderly pop.;Old Pop.;Mid-aged Pop.;Young Pop.;Children Pop.;Highschool degree;No school degree;Registrd Web Doms;Business Regstr.;Income;GDP growth 2009;GDP growth 2008;Workforce;#cars;Agricult. workf.;Prod. workf.;Manufac. Workf.;Constr. workf.;Service workf.;Trade workf.;Finance workf.;Pub. serv. workf.;Bankruptcies;Unemploy.;Unempl. Youth
1058;Rendsburg-Eckernfoerde;Rural;Schleswig-Holstein;North;1002,1004,1051,1057,1059,1060,1061;54.308868, 9.663513;38,1;37,3;10,1;8,2;4,1;80,9;33,9;26,6;16,1;12,9;6,5;76;123,8;21,2;28;24,7;7,3;18,7;22,1;8,9;136,1;95,6;18849;-0,1;6,4;630,5;540,3;4,9;17,6;10,3;6,7;77,5;25,4;14;38,1;144,6;6,1;6,6
1059;Schleswig-Flensburg;Rural;Schleswig-Holstein;North;1001,1051,1054,1058;54.527879, 9.577321;39,4;37,3;10,1;7,1;4,2;79,8;35;25,5;15,5;12,9;7,2;74,8;95,8;21,5;27,5;24,6;7,5;18,9;15,8;8,7;132,5;111,1;17923;1,6;4,1;611,1;537,8;6,2;16,9;9,5;7;76,9;29,4;11;36,5;171,2;9;10
1060;Segeberg;Rural;Schleswig-Holstein;North;1004,1055,1056,1057,1058,1061,1062,2000;53.939874, 10.328047;37,4;36;11,6;8,1;4,4;80,1;33,5;24,8;17,9;11,4;8,1;74,3;192;20,1;27,9;26,4;7,4;18,2;26,1;5,4;160,9;115,7;19463;-1,9;7,4;677,3;550,5;3;24,1;17,7;5,9;72,8;29,6;15,2;28,1;82,3;5,5;6
1061;Steinburg;Rural;Schleswig-Holstein;North;1051,1056,1058,1060,3359;53.931005, 9.505887;37,6;37,4;10,3;7;4,6;79;33,6;26;16,7;11;7,9;72,8;126,3;21,2;27,8;25;7,8;18,2;22,6;7,1;113,8;103,3;17986;-0,1;7;619,8;516,9;5;23,4;15,8;6,3;71,6;23,4;15,4;32,7;136,4;6,1;7,2
1062;Stormarn;Rural;Schleswig-Holstein;North;1003,1053,1055,1060,2000;53.679207, 10.274140;37,1;35,6;11,3;9,9;4,2;82,8;33,4;24,9;17,5;13,1;7,5;77,5;298;21,9;28,3;25,2;6,6;18,1;35,9;5,2;180,8;112,8;22312;-2,3;6,4;694,9;563,4;2,4;26;19,8;6;71,6;30,3;16,2;25,1;73,2;4,6;5,6
2000;Hamburg;Urban;Hamburg;North;1053,1056,1060,1062,3353,3359;53.548374, 9.988246;28,9;38,7;9;14,9;6,3;77,5;27,8;27,4;13,2;15,6;11,2;71,3;2349;19;25;32,5;8,3;15,3;44,6;7,9;271,6;115,4;24137;-2,1;2,9;932,1;401,6;0,5;14,2;10,6;3,1;85,3;29,4;27,2;28,7;96,5;8,6;8,1
3101;Braunschweig;Urban;Lower Saxony;North;3102,3151,3154,3157,3158;52.271142, 10.532692;28,9;44,5;8,5;9,9;5,6;78,5;29;28,7;11,4;14,3;9,9;73,7;1287,5;21,3;25,6;29,4;9,1;14,6;42,7;6,6;183,1;79,9;19123;-1,7;1,4;930,1;450,4;0,4;18;14;3,3;81,5;24,3;23,7;33,6;117,8;9,3;7,7
3102;Salzgitter;Urban;Lower Saxony;North;3101,3153,3157,3158,3254;52.153925, 10.336381;29,5;50,8;6,2;4,3;5,7;76,8;29,6;36,3;8,9;7;12,3;70,4;462;23,3;28,2;23,4;8,2;16,8;19,3;7,2;78,4;58,7;16866;-12,9;-3,1;886,7;466,1;0,6;45,3;41,6;3;54,1;19,5;11,7;22,9;111,4;10,4;9,4
3103;Wolfsburg;Urban;Lower Saxony;North;3151,3154;52.422916, 10.797502;32,1;46,5;7,6;6,2;4,5;77,5;35;31,7;9,7;9,1;8,5;70,6;593,5;23,7;26,4;26,2;8,2;15,5;36;3,5;81,9;64,6;18849;-14,9;-1,9;1499,8;887,4;0,4;54,2;51,8;1,9;45,4;13,5;16,3;15,6;82,9;6,6;7,1
3151;Gifhorn;Rural;Lower Saxony;North;3101,3103,3154,3157,3241,3351,3360,15081,15083;52.481273, 10.554456;34,9;43,1;8,8;6,2;3,9;80,8;36,6;30;11,4;8,9;7,7;73,6;110,8;18,3;28,7;25,2;8,1;19,7;21,7;5,8;82,5;63;18061;-2;0,7;466,8;510,9;4,2;21,6;14,7;6,6;74,2;25,5;15,5;33,1;82,3;6,4;8
3152;Goettingen;Rural;Lower Saxony;North;3155,3156,6611,6633,6636,16061;51.541742, 9.915523;30,3;41,6;9;11,5;5,1;80,2;28,5;29,4;13,2;15,4;8,8;74,6;232,1;19,2;27,4;27,9;9,9;15,7;37,8;4,6;135,7;77,4;18027;-1,3;-2,4;731,5;465,8;1,9;18;13,4;4,3;80,1;23,2;15;41,8;69,1;8,6;6,7
3153;Goslar;Rural;Lower Saxony;North;3102,3158,3254,3155,3156,15085,16062;51.905732, 10.431383;32,4;44,7;9,3;5,4;5,5;78,5;31,3;31,8;13,2;7,9;10,7;72,1;149,9;26,3;28,4;23,3;7,4;14,5;21,8;8,1;103,2;82;18188;-4,4;0,7;689,7;500,9;1,7;21,2;16;4,8;77,1;28,3;11,7;37,1;116,4;10,2;9,7
3154;Helmstedt;Rural;Lower Saxony;North;3101,3103,3151,3158,15083,15085;52.228250, 11.007098;31,8;46,6;7,9;5,2;4,6;78,7;32,2;31,7;11,6;8,9;8,6;73,1;139,4;22,7;29,3;24;7,7;16,3;27,5;3,8;68,1;69,4;18280;2,6;11,4;477,1;508,8;3,2;21,8;12,4;5,7;75;27,1;8,2;39,6;139,2;9,1;10,3
3155;Northeim;Rural;Lower Saxony;North;3152,3153,3156,3254,3255,5762,6633;51.700798, 9.999748;30;47,8;9,2;5,7;4,4;79,8;29,2;34,8;13,7;8,5;9,1;73,8;110,9;23,8;28,9;23,3;7,5;16,6;31;5,6;88,6;76,1;18206;-3,7;2,1;653,9;549,1;5;30,4;24;5,9;64,6;22,3;9,9;32,4;84,6;8,6;9,4
3156;Osterode am Harz;Rural;Lower Saxony;North;3152,3153,3155,16061,16062;51.726591, 10.247661;31;47,5;8,4;5;4,9;78;29,6;34,1;14,2;8;9;71,5;123;26,5;28,7;22,2;6,9;15,5;22,8;6;84,8;68,2;18164;-6;-2,5;725,4;542,6;1,9;33,8;27,1;5,5;64,3;25,1;8,7;30,5;101,7;11,2;13,8
3157;Peine;Rural;Lower Saxony;North;3101,3102,3151,3241,3254;52.319683, 10.242725;29;50,8;7,3;5,8;4,5;81,2;29,7;36,4;10,8;8,8;9,1;75,1;246,9;20,8;27,9;25,3;7,3;18,7;18,5;6,2;93,7;83,6;17895;-5,6;0,7;499,6;535,2;2,5;26;17,3;6,8;71,5;27,1;12;32,3;99,7;7,7;9,2
3158;Wolfenbuettel;Rural;Lower Saxony;North;3101,3102,3153,3154,3254,15085;52.164277, 10.536273;32,5;45,1;8,2;6,7;4,6;82;31,3;32,3;11,4;10,7;8,6;77,3;169,9;22,2;28,9;24,3;7,2;17,4;24,6;8;92,7;81,9;18118;-1,8;0,1;439;531,6;4;18,7;10,7;7,5;77,2;22,9;12;42,3;104,7;7;7,1
3241;Hannover;Urban;Lower Saxony;North;3151,3157,3252,3254,3256,3257,3351,3358;52.375684, 9.731946;29;45,7;8,9;9,6;4,3;80,2;29,4;31,2;12,7;12,8;8,6;74,9;493,4;21,1;27;27,8;7,9;16,3;33,4;6,3;164,5;84,8;19079;-2,2;5;836;447,4;0,9;16,9;12;4;82,1;26,9;21,8;33,5;86,9;9,3;9
3251;Diepholz;Rural;Lower Saxony;North;3256,3361,3401,3458,3459,3460,4011,5770;52.604779, 8.374868;32,7;41,9;10,9;7,6;4,5;79,3;33,5;27,5;15,9;10,2;8,4;73,7;107,5;20,9;28,6;25,1;7,4;18,2;23,2;4,5;125,3;109,2;18943;-4,7;2,3;652,4;550,8;5,7;23,4;16,4;6,2;71;32;12,5;26,5;107,2;5,3;6,3
3252;Hameln-Pyrmont;Rural;Lower Saxony;North;3241,3254,3255,3257,5766;52.105023, 9.373882;30,5;46,8;8,9;6,3;4,7;78,4;30,8;31,9;12,9;9,7;9,4;72,3;194,9;24,4;27,9;23,4;7,7;16,6;23,6;6,6;103,7;83,4;18137;-0,2;9,6;712;523,9;2,5;21,5;15,5;5;76;24,4;16,2;35,4;133,5;9,2;9,1
3254;Hildesheim;Rural;Lower Saxony;North;3102,3153,3155,3157,3158,3241,3252,3255;52.154255, 9.954966;32,4;47;7,2;7,1;3,8;81,5;31,8;32,9;11,3;10,5;8,1;75,2;236;22,4;27,8;24,7;8,2;17;31,2;7,8;98,4;86,3;18286;-3,5;3,2;654,9;497,1;2;26,8;20,4;5,7;71,3;24,2;11,9;35,1;149,4;8,5;9,3
3255;Holzminden;Rural;Lower Saxony;North;3155,3252,3254,5762,5766;51.823964, 9.463570;27,8;47,5;11,8;6,1;4;79,7;26,4;34,9;16,8;8,9;8,5;72,8;107;25;27,8;22,8;7,7;16,6;19,3;8,6;80,6;64,2;17889;-7,5;-0,8;660;544,5;2,9;35,8;29,3;6,1;61,3;21,4;9,4;30,5;120;9,1;9,4
3256;Nienburg (Weser);Rural;Lower Saxony;North;3241,3251,3257,3358,3361,5770;52.637675, 9.210147;35,6;44,5;7,9;5,7;3,6;77,2;35,3;30,8;12,6;9,3;7,3;69,7;87,9;20,9;28;24,6;8,1;18,4;21,1;5,3;90;72,2;17152;-1,2;1;646,5;532,6;6;26,4;18,1;7;67,6;26;9,4;32,3;102,8;7,5;9,3
3257;Schaumburg;Rural;Lower Saxony;North;3241,3252,3256,5766,5770;52.325226, 9.205874;31,3;47,5;8,3;6,3;3,6;80,1;30,8;33,8;12,7;9,8;7,8;74;239,4;23,1;28,2;24,1;7,3;17,3;36,4;4,8;112,7;89,9;18494;-2,6;-0,9;586,5;545,8;2,1;24,9;19;5,5;73;25,9;10,9;36,3;114,8;8,6;9,4
3351;Celle;Rural;Lower Saxony;North;3151,3241,3358,3360;52.633350, 10.069051;37,7;39,3;9,9;5,9;4;78,8;37;27;15;8,4;7,1;71,9;116;21,9;27,6;24,3;7,9;18,3;19,1;7,4;104,3;83,4;18047;-3,6;4,9;653,3;517,2;3,3;22;13,6;5,6;74,7;24,4;10,6;39,6;177,6;8,4;9
3352;Cuxhaven;Rural;Lower Saxony;North;3356,3357,3359,3461,4012;53.835069, 8.676454;33,8;44,1;8,5;6,3;4,5;78,5;34,2;30,3;12,7;9,1;9,3;72,2;97,1;22,9;28,7;23,6;7,1;17,7;16,3;8,6;87,7;77,5;18258;-1,4;0,6;540,4;532,7;7,4;19,3;10,8;7,7;73,4;28,4;8,5;36,5;127,3;7;7,5
3353;Harburg;Rural;Lower Saxony;North;1053,2000,3355,3357,3358,3359;53.298719, 9.896687;36,6;36,9;11,5;8,7;3,8;83;34;24,5;16,9;12,2;7,3;77,9;197,3;20,9;28,7;25,3;6,8;18,4;26,2;4,3;160,1;110,8;22416;-0,8;5,8;504,7;567,8;4,3;18,5;10,1;8;77,2;34,8;12,8;29,6;98,3;5,2;6,4
3354;Lüchow-Dannenberg;Rural;Lower Saxony;North;3355,3360,12070,13054,15081,15090;53.014914, 11.130478;33,4;35,7;8,1;12,5;7,6;77,4;28,6;23,2;11;20,7;11,9;72,3;40,7;25,9;28,3;22,1;7;16,7;16,9;8,2;121,6;72,2;17298;-2,9;1;632,6;529,1;8,7;23,5;17,2;5,9;67,8;24,1;9,3;34,4;100,3;11,6;11,8
3355;Lüneburg;Rural;Lower Saxony;North;1053,3353,3354,3358,3360,13054;53.243266, 10.409593;30;40,4;9,5;11,8;5,5;79,8;28,7;25,3;13;17,4;9,6;74,8;133,8;18,7;26,9;28,1;8;18,2;29,3;4,5;165,2;98,8;17907;-1,2;2,4;641,1;486,9;3;19,2;14,1;4,7;77,8;24,4;14,8;38,7;108,5;7,5;6,6
3356;Osterholz;Rural;Lower Saxony;North;3352,3357,3361,3461,4011;53.224977, 8.779334;28,3;44;9,5;9,5;5,7;80,5;30,6;29,8;12,6;11,6;10,9;75,7;172,1;20,9;29,5;24,5;7;18,2;26,5;7,2;105;85;19387;-0,1;3,6;512,3;545,3;5;17,4;10,2;6,8;77,6;29,6;12,6;35,4;140;5,6;6,6
3357;Rotenburg (Wümme);Rural;Lower Saxony;North;3352,3353,3356,3358,3359,3361;53.105320, 9.368315;38,5;38,2;9,8;7,1;3,8;79,3;37,2;26,2;14,8;9,9;7,2;73,3;79,3;19,2;27,3;25,5;8,3;19,7;20,6;8,3;118,5;89,1;18238;-0,5;0,8;705,9;550,7;6,2;21,5;13,1;7,8;72,3;26,4;9,5;36,5;107,3;5,3;5
3358;Soltau-Fallingbostel;Rural;Lower Saxony;North;3241,3256,3351,3353,3355,3357,3360,3361;52.882138, 9.689035;35,3;42;9,3;6,3;3,9;78,7;35,5;28,2;13,6;9,4;8,2;72;74,8;21,3;27,2;24,9;8,2;18,4;22;7,7;99,4;90,1;17502;-1,6;-2,6;756,9;530,9;4,1;19,9;13;6,3;76;27,2;10,5;38,3;95,6;8,2;8,2
3359;Stade;Rural;Lower Saxony;North;1051,1056,1061,2000,3352,3353,3357;53.599296, 9.456860;35,1;41,6;9,3;7,3;4;79,2;35,4;27,9;13,8;10,3;7,7;73;155,6;19,4;27,8;25,9;7,8;19,1;22,8;6,9;157,5;87;19627;-6,2;5,7;630,2;529,5;5,8;24;16,1;7,1;70,2;29,6;12,9;27,7;86,6;7,3;7,9
3360;Uelzen;Rural;Lower Saxony;North;3151,3351,3354,3355,3358,15081;52.968196, 10.555433;33,9;42,7;8,9;7,5;4,5;79,4;33,2;27,7;13,1;11,5;8,4;73,1;64,9;24,3;27,5;23,8;7,2;17,2;27,7;6,5;107,1;78,3;17411;-0,9;6;677,4;520;6,4;19;12,5;6;74,6;26,7;9,4;38,5;43,7;8,2;9,6
3361;Verden;Rural;Lower Saxony;North;3251,3256,3357,3356,3358,4011;52.934607, 9.232804;31,2;43,4;8,9;8,7;4,4;79,8;33,2;28,8;12,3;12,1;8,6;75;169,2;19,9;28,9;24,8;7,7;18,7;29,3;5,4;121,1;93,7;21251;-3,6;-0,8;664,7;551,8;4,3;25,1;17,8;6,6;70,6;30,9;13,3;26,4;133,4;6,5;5,3
3401;Delmenhorst;Urban;Lower Saxony;North;3251,3458,3461,4011;53.052577, 8.639928;27,2;46,8;9,4;6,8;6,3;74,9;29,9;28,7;12,1;9,9;12,5;67,5;1194,9;21,3;28,2;24,9;8,3;17,3;23,4;6,9;90,1;87,2;17583;-0,7;1;690,4;478,6;0,9;16,2;11,6;4,3;82,9;24,6;20,9;37,3;114,8;10,7;10,7
3402;Emden;Urban;Lower Saxony;North;3452,3457;53.358996, 7.208226;19,6;60,2;6,1;7,2;4,6;74,9;20,3;41;9,6;12,4;12,2;67,1;456,5;20,5;26,8;26,4;9,2;17,2;30,5;7,3;103;50,6;16543;-8,3;-6,3;1095,5;397,6;0,6;40,7;35,5;3,8;58,7;21,1;14,1;23,5;114,2;10,4;8,8
3403;Oldenburg (Oldenburg);Urban;Lower Saxony;North;3451,3458,3461;53.143092, 8.215241;25;44,2;8,3;14;6,3;79;25;27,5;12,9;18,2;11,2;73,6;1566,8;18,4;26,6;29,7;9,4;15,9;38,8;6,7;224,1;94,5;18650;1;-3,3;929,5;462,6;0,4;11,6;6,5;3,7;88,1;26,3;22,1;39,7;99,8;9,4;9,5
3404;Osnabrueck;Urban;Lower Saxony;North;3459,5566;52.279772, 8.044443;32,4;40,2;9,8;11,7;4,2;78,1;30,6;26,7;14,2;15,2;9,1;72,8;1364,9;19,9;25,5;30;9,9;14,8;40,9;4,9;450,6;106,7;18881;-3;1,6;1050,3;438,9;0,4;17;12,6;3,7;82,6;28,6;20,6;33,4;81,4;9,4;7,7
3405;Wilhelmshaven;Urban;Lower Saxony;North;3455;53.539151, 8.099465;29,4;46,7;8,1;5,6;5,9;75,3;28,8;30;13,5;8,8;13,1;67,7;758,9;24,4;27,9;24,2;9,2;14,3;25,5;9,4;100,3;67,3;17005;-4;4,6;863,9;439,2;0,8;15;9,8;4,4;84,2;20,8;13,1;50,4;102,2;12,7;8,6
3451;Ammerland;Rural;Lower Saxony;North;3403,3453,3455,3457,3458,3461;53.194977, 8.015673;32,7;43,7;10,6;7,1;3,7;79,3;32,4;26,7;16,9;11,6;7,7;73,3;161,3;20,5;28;24,9;7,5;19,2;19,6;6,4;122,6;96,5;19344;-3,2;2,9;691,8;551,1;9,9;23,4;15,7;7,6;66,7;32;8,3;26,4;95,8;5,8;5,4
3452;Aurich;Rural;Lower Saxony;North;3402,3457,3462;53.476043, 7.497861;26,2;54,8;6,2;6;4,4;77,9;25,6;38,2;10,6;9,9;11,3;70,8;146,8;20,2;27,8;24,6;8;19,3;19,3;9,5;103,1;78,4;16554;-1,9;10,1;610,3;499,1;5,2;18,8;9,1;7,3;76;31,8;11,7;32,5;69,7;8,9;8
3453;Cloppenburg;Rural;Lower Saxony;North;3451,3454,3457,3458,3459,3460;52.845483, 8.054617;56,7;26,2;9,5;3;2,4;76,1;54,2;17;15;5;5,6;68;111,1;15,8;25;26,9;9,5;22,8;16,5;6,1;78,2;116,6;16604;-4,3;4,2;727,8;491,7;9,4;35,7;25,6;9,3;54,9;22,4;9,9;22,6;87,5;6,6;6,1
3454;Emsland;Rural;Lower Saxony;North;3453,3456,3457,3459,5566;52.657918, 7.377762;53,3;29,7;8,8;3,8;2,7;80,1;50,3;19,4;14,8;6,4;5,7;73,7;108,6;17,5;26,4;26,7;9,1;20,3;23,7;5,9;80,4;99;17390;-5,3;2,5;760,7;511,8;5;32,4;22,5;8,6;62,7;25,3;10,5;26,9;96,1;4,7;4,9
3455;Friesland;Rural;Lower Saxony;North;3405,3451,3457,3461,3462;53.580968, 7.938317;29,3;47,4;9,6;6,4;4,4;79;28,7;31,8;15,5;10;9;72,4;164,3;23;28,3;23,2;7,5;18,1;16;7,2;106,3;82,4;17253;0,7;5;636,5;546,8;4;19,2;13,3;5,6;76,8;28,1;13,9;34,8;72,7;7,3;6,4
3456;Grafschaft Bentheim;Rural;Lower Saxony;North;3454,5566;52.461057, 7.091097;42,1;39,9;8,2;5;3,2;80,4;41,7;28,4;13,7;7,2;6;73,8;138;19;26,3;25,9;8,6;20,2;20,4;8,1;92,3;83,5;16182;-4,9;4,7;695,1;511,5;4,8;28;18,4;7,9;67,1;28;12,3;26,8;84,8;5,4;4
3457;Leer;Rural;Lower Saxony;North;3402,3451,3452,3453,3454,3455,3462;53.236190, 7.473632;30,1;50,6;6,8;4,9;4,9;77,3;30,6;34,7;10,8;8,6;10,6;70,6;151,8;19,6;27,1;25,4;8,4;19,5;15,1;9,3;92,6;89,8;16598;-2,7;5,7;625,7;504,6;4,8;17,8;10,4;6,7;77,4;32;15,3;30,1;57,3;8,5;8,7
3458;Oldenburg(district);Rural;Lower Saxony;North;3251,3401,3403,3451,3453,3460,3461;53.160058, 8.264143;30,7;41,3;12,7;8,4;4,4;80,7;32,5;25,7;16,8;11,5;8,5;74,8;119,1;19,2;28,5;25,3;7,6;19,4;13,1;7;116,4;104;18944;-4,8;1,4;545,4;551,1;6,5;26,4;17,6;7,9;67;28,1;11,4;27,5;84,5;6,3;7,7
3459;Osnabrueck (dstrict);Rural;Lower Saxony;North;3251,3404,3453,3454,3460,5566,5570,5754,5758,5770;52.260549, 8.066073;40,6;38;9,6;6,6;3,2;80,7;38,9;26,5;14,5;9,4;7,2;74,5;168,3;19,1;27,2;25,5;8,4;19,8;16,6;6,4;92,9;85,5;19107;-5,5;2,2;637,3;532,4;5;31,3;24;7;63,7;27,2;11;25,5;97,7;5,4;4,6
3460;Vechta;Rural;Lower Saxony;North;3251,3453,3458,3459;52.730354, 8.287974;57,7;24,3;10,9;3,6;2,1;79,5;54,8;16;16,2;5,6;4,5;72,6;164,3;15,2;25,4;28;9,8;21,6;26,6;6,1;90;100,8;19762;-4,9;3,3;860,1;502,5;6,2;34,2;26,1;7,3;59,6;24,4;11,3;23,9;58,9;4,3;4,8
3461;Wesermarsch;Rural;Lower Saxony;North;3352,3356,3401,3403,3451,3455,3458,4011,4012;53.327277, 8.361314;27,1;52,7;7,8;5,8;4,4;76,9;30,3;33,2;12,9;9,4;10;69,8;111;21,5;28,5;23,6;7,8;18,6;24,9;4,3;77;92,2;17523;-1,6;19,9;655;494,8;5;37,8;28,3;6,2;57,2;23;8,7;25,5;107;7,9;8,8
3462;Wittmund;Rural;Lower Saxony;North;3452,3455,3457;53.576769, 7.778588;34,3;45,1;8,8;5,1;4,1;74,9;32,5;31,1;14,9;8,1;9;67,7;87,4;21,2;28,1;24,1;7,8;18,8;23,5;5;126,6;80,5;17126;-1,3;3,8;672,7;521,8;7,4;16,9;8,5;7,9;75,7;31,8;8,1;35,8;72,3;8,2;7,5
4011;Bremen;Urban;Bremen;North;3251,3356,3361,3401,3461;53.078617, 8.804950;22,6;42,1;8,2;15,2;8,6;76,2;23,7;29,8;10,7;16,2;14,2;71,4;1683;21,4;26,4;28,2;8,8;15,1;32,7;5,1;155,4;93,7;21752;-2,8;1,9;896,6;394,5;0,4;21,1;16,5;4;78,6;29,7;19,2;29,6;105,1;11,1;9,9
4012;Bremerhaven;Urban;Bremen;North;3352,3461;53.536887, 8.594461;23,7;47,2;7,6;9,5;7,6;72,2;25;32,4;10,2;11,7;14,7;65,1;1446;22;27,8;24,9;9,1;16,2;32,7;9,2;81,7;103,1;18294;2,1;3,1;875,2;378,5;0,4;18;13,1;4,2;81,6;31,1;15,8;34,7;158,4;15,4;14,1
5111;Duesseldorf;Urban;NRW;West;5112,5158,5162;51.228566, 6.773838;33,9;36;12,5;9,6;5,3;77,4;32,1;24,2;17,9;12,6;8,6;71,1;2698,7;19,8;26;32;7,3;15;35,6;8,4;290,5;130,9;22520;-2,5;7,5;1236,4;461,5;0,3;13,7;10;2,7;86;28;31,7;26,3;152,4;9,6;7,2
5112;Duisburg;Urban;NRW;West;5111,5114,5117,5119,5158,5162,5170;51.433817, 6.760247;22,9;52,3;6,2;7,3;7,6;74,5;25,1;38,2;9,3;8,5;12,5;64,8;2113;21,5;27,2;26,3;8,3;16,8;28,3;8,5;105;93;15968;-9,5;3;702,4;423,4;0,4;25,5;19,4;4,7;74,1;26,9;16,2;31;206,1;13;10,9
5113;Essen;Urban;NRW;West;5117,5119,5158,5512,5513,5562,5911,5954;51.453318, 7.009838;27,6;46,7;7,8;8,3;6,4;77,4;27,2;35;12,3;10,3;9,7;69,7;2740;22,4;27,6;26,3;8,2;15,6;35,1;8;158,8;97,3;19064;-1,6;14,6;840,7;444,9;0,5;16,7;9,1;4,9;82,8;24,1;24,8;33,8;215,6;12,3;11,8
5114;Krefeld;Urban;NRW;West;5112,5162,5166,5170;51.337699, 6.587962;33,2;38,3;11,8;8,4;5,3;75;32,6;27,5;15,7;10,8;8,6;68,1;1709;21,5;28,3;25,7;8,1;16,4;31,5;7,6;140,7;99,6;18627;-8,6;-1,5;768,7;443,3;0,8;25,9;20,9;3,9;73,2;26,2;18,4;28,6;204,9;11,5;8,7
