age,education,ethnicity (white::other),gender (female::male),hours-per-week,income (<=50k::>50k)
43,9,1,1,40,1
26,12,1,0,45,1
46,12,1,1,33,1
35,12,1,0,40,0
41,10,1,0,54,0
26,13,1,0,40,1
34,14,0,0,35,0
19,10,0,1,25,1
36,13,0,1,40,0
22,10,1,0,15,1
24,10,1,0,40,1
77,10,1,0,40,1
22,3,1,1,40,1
29,10,1,1,40,1
62,9,1,1,24,1
39,9,1,0,40,1
43,10,1,0,50,1
35,9,1,0,45,1
29,7,1,1,40,1
76,14,1,0,10,1
63,9,1,0,45,1
23,11,0,1,15,1
43,10,1,1,50,0
58,9,1,0,40,1
66,9,1,0,55,1
41,10,0,0,45,1
26,13,1,0,40,1
47,11,1,0,40,1
55,6,1,0,40,1
53,9,1,0,40,1
17,3,1,0,48,1
30,9,1,0,40,1
49,14,1,0,60,1
19,9,0,0,30,1
45,9,0,0,40,1
26,12,1,0,40,1
38,11,1,0,40,0
36,9,1,0,40,0
33,9,1,0,20,1
22,10,0,1,40,1
43,13,1,0,42,1
67,7,1,0,8,1
30,11,1,1,40,1
56,12,1,0,25,1
31,13,1,0,25,1
33,13,1,0,40,0
26,9,1,0,40,1
33,13,1,0,40,0
46,7,1,0,30,1
59,13,1,0,40,0
38,9,1,0,40,0
65,7,0,0,40,1
40,11,1,0,40,0
42,9,1,1,35,1
26,5,1,0,40,1
36,6,1,1,24,1
62,14,1,0,40,0
43,13,1,0,45,1
43,13,1,0,45,0
22,9,1,0,55,1
28,9,1,0,40,1
56,10,1,0,45,1
22,12,1,1,15,1
57,13,1,1,45,0
39,9,1,1,40,1
26,10,1,1,15,1
17,7,1,0,10,1
40,11,1,0,38,0
45,9,0,0,40,1
44,9,0,0,40,1
20,10,1,1,10,1
33,9,1,1,40,1
23,10,1,0,40,1
46,14,1,0,30,1
38,9,1,0,50,1
54,9,1,0,40,1
46,3,1,1,45,1
25,10,1,0,40,1
46,10,1,1,40,1
36,10,1,1,40,1
23,9,1,1,25,1
29,9,1,0,40,1
44,10,1,1,6,0
19,10,1,1,16,1
19,9,1,1,40,1
35,9,1,1,40,0
27,13,1,0,50,1
46,12,1,0,40,1
34,13,1,0,45,0
34,9,1,1,35,1
44,10,1,0,40,1
45,10,1,1,40,1
20,9,1,1,35,1
25,13,1,0,55,0
52,13,1,0,50,0
20,10,1,0,40,1
28,10,1,1,40,1
50,13,1,0,40,0
34,11,1,1,64,1
28,4,0,0,40,1
41,14,1,0,65,0
28,9,1,0,40,1
46,9,1,0,25,1
28,10,1,1,40,0
32,10,1,0,50,1
41,10,0,1,24,1
24,9,0,1,40,1
33,10,1,1,40,1
46,16,1,0,60,0
31,10,1,0,40,1
35,8,1,0,50,0
52,2,1,0,40,1
30,7,1,1,19,1
34,7,0,0,40,1
34,9,1,1,40,1
20,10,1,0,30,1
17,7,1,0,18,1
32,13,1,1,40,0
29,9,1,0,40,1
33,6,1,1,35,1
25,9,1,0,60,1
36,14,1,0,40,1
23,9,1,0,72,1
63,9,1,0,40,0
47,14,1,0,40,1
80,9,1,0,24,1
17,7,1,0,40,1
40,13,1,1,40,1
30,12,1,1,25,0
27,10,0,0,40,1
33,14,1,0,50,0
34,9,0,0,60,1
34,10,1,1,40,1
23,10,1,0,40,1
42,10,1,1,40,1
29,13,1,0,40,1
45,9,1,1,28,1
24,9,1,0,40,1
44,10,1,0,40,0
27,5,1,0,40,1
20,10,1,0,35,1
44,9,0,1,40,1
51,9,0,0,40,1
20,9,1,0,40,1
17,7,1,1,5,1
19,9,0,1,40,1
45,10,1,0,55,0
60,9,1,0,40,0
42,12,0,0,40,0
44,9,1,1,40,0
40,11,0,0,40,0
30,9,1,1,40,1
38,10,0,0,50,1
23,9,1,0,60,1
32,10,1,0,40,1
44,12,1,0,40,1
54,9,0,0,40,1
32,13,1,0,50,1
50,2,1,0,40,1
24,13,1,1,20,1
37,9,1,1,60,1
52,9,1,0,40,1
38,10,1,0,40,1
49,14,1,0,45,0
30,13,1,1,16,0
60,10,1,0,40,0
22,10,1,0,40,1
35,9,1,0,40,1
30,9,1,0,60,1
67,11,1,1,24,1
46,13,1,1,40,1
17,5,1,0,6,1
22,10,1,0,30,1
27,6,1,0,40,1
23,9,1,1,35,1
33,12,1,0,45,1
43,10,1,0,20,1
28,13,1,0,20,1
41,9,1,1,40,1
52,8,0,0,40,1
25,10,0,1,20,1
63,2,1,0,35,1
59,9,1,0,45,1
45,13,1,1,40,1
38,13,1,0,60,0
40,9,1,1,35,1
46,9,1,0,40,1
35,12,1,1,60,1
34,9,1,1,25,1
33,13,1,0,20,1
41,9,1,1,36,1
20,10,1,0,40,1
23,3,1,0,40,1
26,10,1,1,35,1
72,9,1,0,20,1
23,9,1,0,40,1
62,9,1,0,40,1
52,10,1,0,40,1
58,10,1,1,42,1
25,13,1,1,40,1
24,13,0,0,40,1
19,10,1,0,8,1
43,10,1,0,40,1
47,9,0,1,40,1
39,9,1,1,40,1
49,11,1,0,42,1
53,3,0,1,30,1
32,11,1,0,45,1
34,10,1,0,50,0
28,9,1,0,45,1
57,11,1,1,38,1
25,10,0,1,20,1
20,10,1,0,24,1
21,10,1,1,35,1
34,13,1,0,50,0
38,13,1,0,80,0
50,9,1,0,50,0
24,10,0,0,50,1
37,10,1,0,45,0
44,10,1,0,58,0
28,10,1,1,40,1
42,13,1,0,40,0
74,10,1,1,9,1
38,9,1,0,50,1
44,14,1,0,40,1
44,7,0,1,46,1
26,9,1,0,40,1
36,9,0,0,40,1
41,12,1,1,50,0
67,15,1,0,48,0
39,8,1,0,50,1
57,2,0,1,30,1
29,11,1,0,40,1
31,13,1,1,45,1
34,9,0,1,40,1
44,10,1,0,40,1
29,16,1,0,40,1
30,10,1,1,40,1
27,9,1,0,40,1
27,10,1,0,50,1
32,9,1,1,45,1
58,6,1,1,8,1
35,10,1,0,40,1
21,9,1,0,36,1
28,10,1,0,40,1
46,10,1,0,50,1
36,9,1,1,40,1
72,7,1,1,40,1
35,9,0,1,40,1
33,11,0,1,40,0
69,7,1,1,40,1
35,9,1,0,40,1
31,9,1,1,20,1
34,9,1,1,32,1
30,7,1,0,40,1
28,13,1,0,55,1
54,13,1,0,35,0
47,10,1,0,50,0
24,9,0,1,40,1
52,13,1,0,60,0
20,9,0,0,48,1
43,14,1,0,45,1
45,4,1,1,40,1
29,9,1,0,35,1
47,14,1,0,42,1
24,9,1,0,40,1
51,9,1,0,40,1
17,7,1,0,12,1
37,11,1,0,40,0
27,16,1,1,70,1
29,13,1,0,40,0
18,8,1,0,25,1
36,12,1,1,35,1
58,13,1,1,40,1
26,10,1,0,45,1
65,10,1,0,30,0
57,9,1,0,40,0
59,9,1,0,40,1
27,9,1,0,40,1
31,13,1,0,40,1
21,10,1,1,24,1
29,10,1,0,60,1
18,7,1,0,40,1
52,6,1,0,47,0
57,13,1,0,80,1
42,9,1,0,40,1
55,9,0,1,40,1
60,4,1,0,48,0
31,13,1,0,40,0
23,13,1,1,40,1
27,9,1,0,40,1
23,10,0,1,25,1
42,15,1,0,50,0
25,10,1,0,40,1
49,13,1,1,45,1
32,13,1,0,40,1
19,10,1,0,28,1
60,4,1,1,40,1
42,5,1,0,40,1
35,12,1,0,40,1
48,9,0,1,37,1
51,14,1,0,40,0
29,9,0,0,40,1
36,9,0,0,40,1
17,6,1,1,21,1
52,14,1,1,60,1
24,9,1,0,40,1
24,9,1,0,50,1
26,13,1,0,40,1
27,13,1,1,20,1
39,9,1,0,60,1
30,9,0,0,45,1
50,9,1,0,32,1
52,13,1,0,55,1
46,15,1,0,45,0
23,13,1,1,20,1
45,7,0,1,20,1
65,5,0,1,24,1
29,11,1,0,55,1
47,5,1,0,40,1
30,9,0,0,60,1
34,9,1,0,45,0
38,9,1,0,64,1
33,10,1,0,40,0
49,13,1,0,26,0
47,10,0,1,40,1
49,6,0,1,40,1
43,10,1,0,60,0
30,13,0,1,40,0
58,9,1,0,60,1
19,9,1,1,14,1
21,13,1,0,40,1
33,13,1,0,60,0
47,3,1,0,50,1
52,16,1,0,60,0
26,9,1,0,55,1
60,9,1,0,40,1
21,10,1,0,40,1
36,10,1,0,50,0
31,10,1,0,45,1
50,16,1,0,40,0
31,9,1,1,40,1
71,9,1,0,15,1
58,9,1,0,50,1
30,13,1,0,40,0
20,10,1,0,20,1
24,9,1,0,50,1
35,16,0,0,40,0
38,10,1,1,45,1
27,9,1,1,32,1
29,10,0,1,40,1
70,5,1,1,15,1
34,9,1,0,45,1
44,4,1,0,35,1
43,9,1,0,40,0
44,8,0,0,40,0
35,14,1,0,60,1
27,10,1,0,40,1
43,14,1,0,38,1
20,10,1,1,25,1
42,12,1,1,40,0
27,10,1,0,40,1
42,9,0,0,40,0
20,7,0,1,40,1
24,5,1,0,40,1
48,10,1,0,40,1
17,7,1,1,20,1
17,7,1,0,10,1
33,13,1,0,40,0
50,9,1,0,50,0
22,9,1,1,40,1
17,8,1,0,16,1
32,10,1,0,40,1
31,9,1,0,45,1
58,9,1,0,50,1
29,9,1,0,48,1
37,11,1,0,40,0
34,9,1,0,40,0
23,10,0,0,40,1
18,7,1,1,5,1
34,9,1,1,40,1
66,4,1,0,4,1
45,13,1,1,55,1
41,14,1,0,35,1
26,9,1,0,30,1
54,10,1,0,40,1
24,10,0,1,45,1
42,10,1,0,50,1
20,10,1,0,20,1
23,13,1,1,20,1
25,12,1,0,45,1
35,14,1,0,60,0
31,14,1,0,40,0
30,13,1,1,40,1
19,9,1,1,20,1
36,13,1,0,50,1
31,13,1,1,40,1
21,10,1,0,30,1
31,10,1,0,40,1
46,16,1,1,65,0
44,13,1,1,50,0
40,8,0,0,40,1
45,10,0,0,40,1
60,9,1,0,35,1
18,7,1,0,25,1
28,13,1,0,40,1
36,10,0,1,40,1
36,13,1,0,40,1
40,11,1,0,40,1
36,13,1,1,35,1
31,9,0,1,40,1
33,9,1,0,40,1
19,9,1,1,40,1
22,10,1,1,15,1
34,13,1,0,45,0
33,9,1,0,40,1
41,9,1,0,60,1
29,13,1,0,40,1
50,9,1,0,42,0
42,13,1,0,45,0
43,13,1,0,40,0
44,9,1,1,40,1
20,10,1,1,20,1
31,9,1,0,40,1
65,7,1,0,59,0
23,10,1,1,24,1
55,10,0,1,40,1
26,11,1,0,45,1
25,11,1,1,15,1
45,10,0,1,40,1
35,10,1,0,40,1
36,10,0,1,36,1
43,13,1,0,50,1
56,9,0,1,20,1
42,13,1,0,40,0
19,10,1,1,25,1
55,9,1,0,72,1
42,14,1,1,50,0
26,11,1,0,40,1
17,8,1,0,20,1
42,13,1,1,40,0
55,9,1,0,40,0
32,10,0,1,40,1
29,7,0,0,40,1
46,13,1,0,37,1
29,13,1,0,40,0
22,13,1,0,20,1
58,6,1,0,40,1
23,9,1,0,50,1
39,9,1,0,40,1
27,11,1,0,38,1
54,9,1,0,40,0
33,13,1,1,45,1
46,9,1,1,40,0
37,9,0,0,40,1
36,9,1,1,18,1
59,9,1,1,38,0
34,9,1,0,40,1
53,16,1,0,70,0
51,13,1,0,55,0
32,6,1,1,42,1
31,10,1,0,40,1
22,10,1,1,30,1
47,13,1,1,50,1
32,9,1,0,40,1
26,10,1,1,38,1
37,3,1,0,32,1
31,9,1,0,55,1
37,11,1,1,24,0
55,9,1,0,38,1
23,11,1,0,56,1
36,10,1,1,40,1
34,14,1,0,40,1
43,13,1,0,50,0
54,10,1,0,40,1
43,10,1,0,40,1
28,11,1,1,42,1
40,11,1,0,50,0
41,10,1,0,60,1
40,13,0,1,55,0
42,10,0,1,38,1
61,9,1,0,50,1
18,8,1,0,30,1
59,9,1,0,16,1
21,9,1,1,40,1
48,11,1,0,50,0
41,13,1,0,40,1
18,10,1,0,33,1
23,9,1,1,40,1
60,9,1,0,60,0
22,10,0,0,20,1
61,9,1,0,40,1
25,9,0,0,40,1
46,14,1,0,35,0
43,13,1,0,40,0
43,12,1,0,40,1
24,9,0,0,30,1
68,7,1,0,20,1
31,9,1,1,38,1
17,7,1,1,20,1
32,9,1,0,48,0
50,14,1,0,40,1
33,13,1,0,47,0
64,13,1,0,40,0
20,9,1,0,30,1
30,9,1,1,36,1
22,10,0,0,40,1
43,10,1,0,45,1
22,10,1,0,40,1
17,6,1,0,20,1
47,9,1,1,75,1
41,11,1,1,60,1
56,10,1,0,50,0
64,9,1,0,45,1
47,9,1,0,50,0
48,11,1,0,40,1
31,14,1,1,46,1
29,11,1,0,40,1
30,9,1,1,40,1
32,9,1,0,60,1
57,9,1,0,42,0
62,9,1,1,40,1
39,9,1,1,24,1
43,10,1,0,25,1
24,13,1,0,40,1
42,7,1,0,15,1
53,10,1,1,40,0
26,10,1,0,40,1
73,9,1,0,40,1
72,7,1,1,24,1
55,9,1,0,40,1
25,9,1,0,40,1
41,13,1,1,50,0
24,13,1,0,50,1
63,9,1,0,6,1
17,7,1,0,20,1
35,10,1,0,50,1
51,10,1,0,40,0
62,13,1,1,48,1
55,9,1,0,40,0
43,10,1,0,40,1
40,9,1,1,50,1
37,13,1,0,45,0
39,13,1,0,40,1
31,9,1,0,18,1
61,14,1,1,40,0
26,11,1,1,55,1
46,9,1,0,50,1
26,13,1,1,40,1
48,16,1,0,50,0
34,9,1,0,40,1
34,9,1,1,40,1
59,9,1,0,40,0
34,13,1,1,40,1
49,13,1,1,56,0
18,7,1,1,20,1
43,9,1,0,40,1
48,7,1,0,50,1
28,10,1,0,70,1
33,9,1,0,40,1
24,10,1,1,15,1
21,6,1,0,40,1
17,7,1,0,28,1
39,10,1,0,50,0
29,13,1,0,40,1
44,13,1,0,40,0
24,10,1,0,50,1
71,14,1,0,40,0
51,13,0,0,40,0
55,3,0,0,25,1
41,13,1,0,60,0
23,9,0,1,7,1
38,11,1,1,40,1
39,9,1,0,40,0
19,9,1,1,30,1
49,5,1,1,40,1
32,13,1,0,40,0
27,9,1,0,70,1
38,13,1,0,50,0
33,10,1,1,60,1
63,10,1,0,15,1
23,13,1,0,28,1
33,10,1,0,60,1
54,9,0,0,40,1
29,11,1,1,45,1
48,10,0,1,30,1
35,13,1,0,40,1
28,11,0,1,40,1
37,13,1,0,50,0
42,15,1,0,65,0
40,14,1,0,40,1
47,10,1,0,55,1
22,13,1,1,50,1
30,13,1,0,45,0
28,9,1,0,40,1
63,4,1,0,55,1
51,5,1,0,20,1
22,9,1,1,40,1
27,12,0,0,40,1
35,9,1,0,45,1
46,9,1,1,38,1
37,10,1,0,52,1
24,13,0,0,15,1
37,9,1,0,10,1
53,10,1,0,40,1
27,9,1,0,30,1
38,10,1,0,44,1
53,6,1,0,60,1
34,10,1,0,40,1
23,9,0,0,40,1
39,13,1,0,45,0
43,14,0,1,50,1
67,9,0,0,40,0
81,9,1,0,30,1
21,10,1,0,20,1
23,10,1,0,25,1
25,10,1,0,40,1
42,3,1,1,38,1
38,10,0,1,40,1
64,9,1,0,5,1
32,9,1,0,40,1
37,9,1,0,40,1
51,14,1,0,60,0
22,10,1,1,42,1
33,2,1,1,40,1
42,9,1,0,55,1
19,10,1,1,10,1
51,1,1,0,40,1
23,9,1,1,40,1
37,7,1,0,44,0
37,9,1,0,99,0
47,14,1,1,25,1
41,15,1,0,40,0
33,9,1,0,30,1
31,13,1,0,40,0
31,12,0,1,40,1
35,9,0,0,40,1
38,9,1,0,40,0
18,9,1,1,45,1
20,9,1,0,40,1
54,10,0,1,35,1
40,10,1,1,40,1
36,13,1,1,45,0
43,10,1,0,35,1
44,10,1,0,40,1
44,9,1,1,40,0
43,14,1,0,43,0
51,4,0,1,40,1
18,9,1,1,20,1
51,10,1,0,40,1
41,6,1,0,30,1
44,10,1,0,70,0
33,6,1,0,40,1
33,13,1,0,40,0
42,12,1,0,40,0
25,10,1,0,45,1
32,9,1,1,38,1
32,13,1,0,70,1
36,6,1,1,40,1
28,9,1,0,40,1
20,9,1,1,20,1
35,10,1,0,60,0
55,9,1,0,20,1
48,13,0,0,40,0
36,11,1,1,20,1
34,9,1,0,35,0
28,13,1,1,35,1
67,13,1,0,40,0
37,9,1,0,40,1
44,9,1,0,70,1
25,10,1,1,40,1
21,10,1,1,40,1
40,14,1,0,35,0
78,9,0,1,40,1
34,9,1,0,40,1
49,9,1,1,44,1
22,12,1,1,40,1
23,9,0,1,40,1
60,9,1,0,42,1
45,9,1,0,40,0
63,11,1,1,20,1
41,9,0,1,35,1
47,9,1,1,40,1
44,9,1,0,40,1
51,10,1,1,40,1
46,13,1,0,40,1
41,11,1,0,40,1
50,9,1,0,30,1
47,9,1,0,50,0
35,9,1,0,45,1
56,9,1,0,55,0
45,14,1,0,45,1
48,13,1,0,58,0
40,10,1,0,40,1
39,13,1,0,50,0
20,10,1,0,40,1
50,16,1,0,65,0
38,9,1,1,40,0
23,13,1,1,60,1
31,9,1,0,16,1
58,13,1,0,40,1
66,9,0,0,40,1
39,9,1,0,40,0
54,9,1,0,52,0
26,10,1,0,50,1
51,9,1,1,40,1
34,11,1,0,40,1
50,9,1,0,40,0
42,10,1,0,44,0
38,14,1,0,25,1
48,4,1,0,40,1
33,11,1,1,40,0
51,9,1,1,32,1
22,9,1,0,40,1
19,9,1,0,30,1
41,10,1,0,50,1
48,14,1,0,35,0
42,9,1,1,30,1
34,10,1,0,40,1
23,9,0,1,40,1
56,9,1,0,50,1
30,13,0,0,45,1
45,9,1,0,55,0
48,6,1,1,40,1
48,14,0,0,50,1
31,11,1,1,40,1
20,12,1,0,20,1
27,10,1,0,40,1
32,9,0,1,40,1
76,4,1,0,2,1
19,9,1,0,40,1
66,5,1,0,1,1
37,9,1,0,75,1
34,9,0,1,30,1
34,7,1,1,8,1
90,9,1,1,40,1
23,10,0,1,40,1
43,10,1,1,40,1
44,13,1,0,60,0
24,10,1,1,37,1
28,15,1,0,55,1
64,12,1,1,20,1
23,10,1,0,40,1
20,10,1,1,50,1
36,13,1,0,50,0
61,9,1,0,40,1
53,13,1,0,40,0
30,13,1,0,40,0
52,10,1,0,55,0
38,10,1,0,40,1
32,13,1,0,40,1
30,8,1,0,75,1
41,11,1,1,40,1
49,14,1,0,40,0
45,9,1,0,47,0
43,9,1,0,35,1
61,9,1,0,40,1
54,9,1,0,32,1
34,12,1,1,40,1
49,10,1,0,80,0
38,10,1,0,40,1
35,15,1,0,80,0
36,8,1,0,40,1
30,13,1,0,50,1
36,12,1,1,60,1
22,13,1,1,20,1
38,9,1,0,40,0
37,9,1,0,50,0
48,16,1,1,46,0
17,7,1,0,15,1
19,10,1,0,20,1
27,13,0,1,40,1
22,13,0,0,50,1
49,9,1,0,40,1
43,11,1,1,40,0
43,13,1,1,40,1
19,9,1,1,35,1
58,9,1,0,60,1
41,10,1,0,40,0
31,10,1,0,40,1
30,11,1,0,40,1
32,9,1,0,40,1
29,13,1,0,35,1
42,10,1,0,52,0
38,9,1,0,28,1
41,12,1,0,40,0
44,13,1,0,50,0
31,16,0,0,60,1
34,9,1,0,40,1
21,10,1,0,40,1
22,13,0,0,20,1
62,6,1,0,40,1
19,9,1,1,40,1
29,9,1,1,25,0
43,10,1,1,40,1
68,4,1,0,8,1
45,13,1,0,60,0
39,5,1,0,40,1
41,13,0,0,50,1
34,12,1,1,25,0
34,9,1,1,33,1
31,13,1,0,47,1
29,9,1,0,25,1
41,13,1,0,40,0
41,11,1,0,55,1
35,14,1,0,45,0
33,13,1,1,45,0
37,13,1,0,38,1
69,9,1,1,40,1
34,9,1,1,40,1
60,11,1,0,70,0
36,10,1,0,40,1
41,9,1,0,50,1
58,13,1,1,40,0
53,13,0,0,40,1
29,10,1,0,40,1
45,9,1,1,40,1
34,10,1,0,38,1
36,13,1,0,40,1
48,10,0,1,35,1
20,11,1,1,40,1
35,9,1,0,50,0
63,9,0,0,40,1
41,10,1,0,45,1
28,13,1,0,45,1
30,10,0,1,40,1
34,9,1,1,40,1
31,9,1,1,40,1
37,11,1,1,38,1
42,10,1,0,40,1
31,10,1,0,50,0
46,14,1,0,45,0
35,9,0,0,60,0
27,9,1,0,53,1
41,2,1,0,35,1
19,10,1,1,20,1
20,10,1,0,45,1
59,9,1,1,40,1
40,13,1,0,37,1
56,10,1,0,60,1
33,14,1,0,44,0
30,10,1,1,60,1
46,9,1,0,50,1
61,9,1,0,35,0
50,9,1,0,40,0
25,9,1,0,30,1
40,10,1,1,39,1
24,10,1,0,40,1
51,9,1,0,54,1
43,9,1,0,40,1
34,10,1,0,54,1
46,9,1,0,45,0
28,14,1,1,50,0
26,13,0,0,40,1
20,9,1,0,28,1
